decade,title ,budget,worldwide gross, budget recovered,domestic gross,domestic ,international gross,international ,year
2010's,The Adventures of Tintin,135,374,277,78,20.8,296,79.2,2011
1990's,Deep Impact,80,349,437,140,40.2,209,59.8,1998
2010's,Penguins of Madagascar,132,374,283,84,22.4,290,77.6,2014
2010's,G.I. Joe: Retaliation,130,376,289,123,32.6,253,67.4,2013
2010's,Taken 2,45,376,836,140,37.2,236,62.8,2012
2000's,Ice Age: The Meltdown,80,667,834,195,29.3,472,70.7,2006
2010's,Once Upon a Time in Hollywood,96,378,393,143,37.7,235,62.3,2019
2000's,Meet the Fockers,80,523,653,279,53.4,243,46.6,2004
2020's,Minions: The Rise of Gru,80,939,1174,370,39.3,570,60.7,2022
1990's,Mission: Impossible,80,458,572,181,39.5,277,60.5,1996
2000's,Over the Hedge,80,340,425,155,45.6,185,54.4,2006
2010's,Fifty Shades Darker,55,382,694,115,30,267,70,2017
2010's,Cars 3,175,384,219,153,39.8,231,60.2,2017
1990's,The Mummy,80,416,520,155,37.4,261,62.6,1999
2010's,Spider-Man: Into the Spider-Verse,90,384,427,190,49.5,194,50.5,2018
2000's,Bruce Almighty,81,485,598,243,50.1,242,49.9,2003
2010's,1917,90,385,427,159,41.4,225,58.6,2019
1990's,Air Force One,85,315,371,173,54.9,142,45.1,1997
2000's,Enchanted,85,340,401,128,37.5,213,62.5,2007
2000's,Fast & Furious,85,360,424,155,43,205,57,2009
2010's,Home,135,386,286,177,46,209,54,2015
2000's,Ocean's Eleven,85,451,530,183,40.7,267,59.3,2001
2000's,Ocean's Thirteen,85,311,366,117,37.6,194,62.4,2007
2020's,Sing 2,85,407,479,163,40,245,60,2021
2010's,Godzilla: King of the Monsters,170,387,227,111,28.6,276,71.4,2019
2000's,Hannibal,87,352,404,165,46.9,187,53.1,2001
2010's,Mad Max: Fury Road,185,390,211,154,39.6,235,60.4,2015
2020's,Bad Boys for Life,90,427,474,206,48.4,220,51.6,2020
2000's,Cast Away,90,430,477,234,54.4,196,45.6,2000
1990's,Die Hard with a Vengeance,90,366,407,100,27.3,266,72.7,1995
2000's,Ice Age: Dawn of the Dinosaurs,90,887,985,197,22.2,690,77.8,2009
2010's,Independence Day: Resurgence,165,390,236,103,26.5,287,73.5,2016
1990's,Men in Black,90,589,655,251,42.5,339,57.5,1997
2010's,Solo: A Star Wars Story,300,393,131,214,54.4,179,45.6,2018
2000's,Rush Hour 2,90,347,386,226,65.1,121,34.9,2001
2000's,Sherlock Holmes,90,524,582,209,39.9,315,60.1,2009
2020's,Sonic the Hedgehog,90,320,355,149,46.6,171,53.4,2020
2010's,Snow White and the Huntsman,170,397,233,155,39.2,241,60.8,2012
1990's,Toy Story 2,90,497,553,246,49.4,252,50.6,1999
1990's,Twister,92,495,538,242,48.9,253,51.1,1996
2000's,Jurassic Park III,93,369,397,181,49.1,188,50.9,2001
2000's,LOTR: The Fellowship of the Ring,93,898,966,316,35.2,582,64.8,2001
2010's,Tron: Legacy,170,400,235,172,43,228,57,2010
2000's,Finding Nemo,94,940,1000,381,40.5,560,59.5,2003
2010's,Mamma Mia! Here We Go Again,75,402,536,121,30,282,70,2018
2000's,LOTR: The Return of the King,94,1146,1220,378,33,768,67,2003
2000's,LOTR: Two Towers,94,948,1008,343,36.2,605,63.8,2002
2010's,Prometheus,130,403,310,126,31.4,277,68.6,2012
2010's,Alita: Battle Angel,170,405,238,86,21.2,319,78.8,2019
2010's,The Wolf of Wall Street,100,407,407,117,28.7,290,71.3,2013
2000's,The Mummy Returns,98,443,452,202,45.6,241,54.4,2001
1990's,Batman Forever,100,337,337,184,54.7,152,45.3,1995
2010's,Ice Age: Collision Course,105,409,389,64,15.7,345,84.3,2016
2010's,The Mummy,80,409,512,80,19.6,329,80.4,2017
2010's,Pacific Rim,200,411,206,102,24.8,309,75.2,2013
2000's,Happy Feet,100,384,384,198,51.5,186,48.5,2006
2000's,Harry Potter and the Chamber of Secrets,100,903,903,263,29.1,640,70.9,2002
2010's,Kingsman: The Golden Circle,104,411,395,100,24.4,311,75.6,2017
2000's,National Treasure,100,348,348,173,49.8,175,50.2,2004
2000's,Planet of the Apes,100,362,362,180,49.7,182,50.3,2001
2010's,Kingsman: The Secret Service,94,414,441,128,31,286,69,2015
1990's,Terminator 2,100,521,521,206,39.5,315,60.5,1991
2010's,The Wolverine,132,415,314,133,32,282,68,2013
2010's,Jason Bourne,120,415,346,162,39.1,253,60.9,2016
2020's,SuperMario Bros,100,1264,1264,551,43.6,713,56.4,2023
2020's,John Wick 4,100,427,427,185,43.3,241,56.4,2023
2000's,Minority Report,102,358,351,132,36.8,226,63.2,2002
2000's,Gladiator,103,465,452,188,40.3,278,59.7,2000
2010's,The Voyage of the Dawn Treader,155,416,268,104,25.1,311,74.9,2010
2010's,Django Unchained,100,426,426,163,38.2,263,61.8,2012
2010's,The King's Speech,15,427,2849,139,32.5,289,67.5,2010
2010's,Rampage,120,428,357,101,23.6,327,76.4,2018
2010's,The Secret Life of Pets 2,75,431,575,159,36.9,272,63.1,2019
2010's,Pokémon Detective Pikachu,150,433,289,144,33.3,289,66.7,2019
2010's,The Greatest Showman,84,436,519,174,40,261,60,2017
2000's,Live Free or Die Hard,110,388,353,135,34.7,254,65.3,2007
2000's,Mr. & Mrs. Smith,110,487,443,186,38.2,301,61.8,2005
2000's,Night at the Museum,110,574,522,251,43.7,324,56.3,2006
2000's,Ocean's Twelve,110,363,330,126,34.6,237,65.4,2004
2010's,A Star Is Born,36,436,1212,215,49.4,221,50.6,2018
2020's,Sonic the Hedgehog 2,110,403,366,191,47.4,212,52.6,2022
2000's,The Bourne Ultimatum,110,444,404,227,51.2,217,48.8,2007
2010's,Warcraft,160,439,274,47,10.8,392,89.2,2016
1990's,Tomorrow Never Dies,110,333,303,125,37.6,208,62.4,1997
2020's,Venom: Let There Be Carnage,110,507,461,214,42.1,293,57.9,2021
2000's,X2: X-Men United,110,408,371,215,52.7,193,47.3,2003
2000's,Revenge of the Sith,113,868,768,380,43.8,488,56.2,2005
2000's,Attack of the Clones,115,654,569,311,47.5,343,52.5,2002
2000's,Monsters Inc.,115,580,504,291,50.1,289,49.9,2001
1990's,The Phantom Menace,115,1027,893,475,46.2,553,53.8,1999
2010's,Terminator Genisys,155,441,284,90,20.4,351,79.6,2015
1990's,A Bug's Life,120,363,303,163,44.8,200,55.2,1998
2000's,Cars,120,462,385,244,52.8,218,47.2,2006
2000's,Fantastic Four,120,334,278,155,46.4,179,53.6,2005
2000's,I Robot,120,353,294,145,41,208,59,2004
2010's,Les Misérables,61,442,725,149,33.6,293,66.4,2012
2010's,Thor,150,449,300,181,40.3,268,59.7,2011
2010's,Star Trek Into Darkness,190,467,246,229,49,239,51,2013
2010's,Bumblebee,135,468,347,127,27.2,341,72.8,2018
2010's,The Lego Movie,65,468,720,258,55.1,210,44.9,2014
2000's,The Perfect Storm,120,329,274,183,55.6,146,44.4,2000
1990's,True Lies,120,379,316,146,38.6,233,61.4,1994
