decade,title ,budget,worldwide gross, budget recovered,domestic gross,domestic ,international gross,international ,year
2010's,Fifty Shades of Grey,40,570,1424,166,29.2,403,70.8,2015
2000's,The Curious Case of Benjamin Button,150,336,224,128,38,208,62,2008
2010's,Ready Player One,175,583,333,138,23.6,445,76.4,2018
2000's,The Matrix Reloaded,150,742,495,282,38,460,62,2003
2000's,The Matrix Revolutions,150,427,285,139,32.6,288,67.4,2003
2010's,The Croods,175,587,336,187,31.9,400,68.1,2013
2000's,X-Men Origins: Wolverine,150,373,249,180,48.2,193,51.8,2009
2010's,The Hangover Part II,80,587,733,254,43.4,332,56.6,2011
2010's,Tangled,260,592,228,201,33.9,392,66.1,2010
2010's,Transformers: The Last Knight,217,605,279,130,21.5,475,78.5,2017
2010's,Life of Pi,120,609,508,125,20.5,484,79.5,2012
2010's,Logan,120,619,516,226,36.5,393,63.5,2017
2010's,How to Train Your Dragon 2,145,622,429,177,28.5,445,71.5,2014
2010's,Ant-Man and the Wasp,195,623,319,217,34.8,406,65.2,2018
2010's,Iron Man 2,200,624,312,312,50.1,312,49.9,2010
2010's,Fast Five,125,626,501,210,33.5,416,66.5,2011
2010's,The Martian,108,631,584,228,36.2,402,63.8,2015
2010's,Sing,75,634,846,271,42.7,364,57.3,2016
2000's,Shrek the Third,160,813,508,323,39.7,491,60.3,2007
2010's,Thor: The Dark World,170,645,379,206,32,438,68,2013
2010's,Mockingjay - Part 2,160,653,408,282,43.1,372,56.9,2015
2010's,Men in Black 3,225,654,291,179,27.4,475,72.6,2012
2010's,Fantastic Beasts: The Crimes of Grindelwald,200,655,327,160,24.4,495,75.6,2018
2010's,Justice League,300,658,219,229,34.8,429,65.2,2017
2020's,Dune,165,402,244,108,27,294,73,2021
2010's,Big Hero 6,165,658,399,223,33.8,435,66.2,2014
2010's,Moana,175,660,377,249,37.7,412,62.3,2016
2010's,Kung Fu Panda 2,150,666,444,165,24.8,500,75.2,2011
2010's,Man of Steel,225,668,297,291,43.6,377,56.4,2013
2010's,Dr Strange,165,678,411,233,34.3,445,65.7,2016
2010's,Mission: Impossible - Rogue Nation,150,683,455,195,28.6,488,71.4,2015
2010's,The Hunger Games,78,694,890,408,58.8,286,41.2,2012
